parameter,Location name,Start date,End date,removal start date,removal end date,mixing day,Htank,ri,annual manure input (m),manure input days,feeder days,Freeboard,Sludge,Initial manure depth,manure volume removed,Total volatile solid,"Income manure Temp, amplitude, and phase constant",Latitude,Solar absorptivity,Extraterrestrial solar flux density,Atmospheric transimttance,Altitude,Emissivity,Soil density,Soil thermal conductivity ,Soil specific heat,air thermal conductivity,Teten's constant,freezing and thawing point,"snow min crit, max crit, melt r, sublimation threshold, sublimation r"
value,Ottawa,1/1/2020,12/31/2020,1/23/2020,1/25/2020,1,2.44,20,0,23,0,0.3,0.5,1.89,515.2211952,0.08,20,45.252915,0.83,1395,0.75,94,0.965,1800,1.7,1220,0.045,0.611,272.45,-12
,,,,3/31/2020,4/1/2020,1,,,0.016,67,,,,,844.2142415,,3,,,,,,,,,,,16.6269,273.15,2
,,,,4/23/2020,4/27/2020,,,,0.014,24,,,,,2805.720975,,4.1,,,,,,,,,,,253.0185,,0.052
,,,,7/24/2020,8/29/2020,,,,0.0123,91,,,,,2100,,,,,,,,,,,,,21.87,,2
,,,,10/16/2020,10/21/2020,,,,0.020893139,84,,,,,2931.049018,,,,,,,,,,,,,265.5,,0.25
,,,,,,,,,0.02249094,77,,,,,,,,,,,,,,,,,,,,
